Artikelnummer;Bezeichnung;Einheit;EAN
LOHN-MEISTER;Meister Stundensatz (Regie);Std;
LOHN-GESELLE;Elektroinstallateur Geselle (Regie);Std;
LOHN-AZUBI-1;Auszubildender 1. Lehrjahr (Regie);Std;
LOHN-AZUBI-2;Auszubildender 2. Lehrjahr (Regie);Std;
LOHN-AZUBI-3;Auszubildender 3. Lehrjahr (Regie);Std;
LOHN-BAULEITER;Bauleiter Stundensatz;Std;
LOHN-PROJEKTL;Projektleiter Stundensatz;Std;
LOHN-TECHKLÄR;Technische Klärung / Beratung;Std;
ANFAHRT-PKW;Anfahrt PKW Pauschale;Pausch;
ANFAHRT-KM;Kilometergeld PKW;km;
ANFAHRT-FZEIT;Fahrzeit Monteur;Std;
ANFAHRT-TRANSPORTER;Anfahrt Transporter Pauschale;Pausch;
KLEINMAT-GERING;Kleinmaterialpauschale gering (bis 50€);Pausch;
KLEINMAT-MITTEL;Kleinmaterialpauschale mittel (bis 150€);Pausch;
KLEINMAT-HOCH;Kleinmaterialpauschale hoch (über 150€);Pausch;
GERUEST-TAG;Gerüst Vorhaltekosten pro Tag;Tag;
LEITER-ALU3M;Leitervorhaltekosten Alu 3m;Tag;
LEITER-ALU6M;Leitervorhaltekosten Alu 6m;Tag;
MESSUNG-VDE;VDE-Messung / Prüfung Elektroanlage;Pausch;
MESSUNG-RCD;FI-Schutzschalter Prüfung (1 RCD);Stk;
MESSUNG-THERMO;Thermographiemessung Schaltschrank;Pausch;
MESSUNG-ISO;Isolationsmessung Leitung;Stk;
DOKU-REVPLAN;Dokumentation / Revisionsplan;Pausch;
DOKU-ATTEST;Prüfattest / Inbetriebnahmeprotokoll;Stk;
NYMJ3X15;NYM-J 3x1,5mm² grau;m;4007521001503
NYMJ3X25;NYM-J 3x2,5mm² grau;m;4007521002500
NYMJ3X4;NYM-J 3x4mm² grau;m;4007521003408
NYMJ3X6;NYM-J 3x6mm² grau;m;4007521003606
NYMJ5X15;NYM-J 5x1,5mm² grau;m;4007521005150
NYMJ5X25;NYM-J 5x2,5mm² grau;m;4007521005259
NYMJ5X4;NYM-J 5x4mm² grau;m;4007521005402
NYMJ5X6;NYM-J 5x6mm² grau;m;4007521005600
NYMJ5X10;NYM-J 5x10mm² grau;m;4007521005105
NYMJ5X16;NYM-J 5x16mm² grau;m;4007521005167
NYMJ7X15;NYM-J 7x1,5mm² grau;m;4007521007154
YKY3X15;Erdkabel YKY 3x1,5mm²;m;4007521031500
YKY5X25;Erdkabel YKY 5x2,5mm²;m;4007521052505
YKY5X6;Erdkabel YKY 5x6mm²;m;4007521056008
H07VK15;Aderleitung H07V-K 1,5mm²;m;4007521070707
H07VK25;Aderleitung H07V-K 2,5mm²;m;4007521070258
H07VK4;Aderleitung H07V-K 4mm²;m;4007521070400
H07VK6;Aderleitung H07V-K 6mm²;m;4007521070608
GIRA021100;Gira Steckdose Reinweiß UP;Stk;4010337211006
GIRA021400;Gira Steckdose IP44 Klappdeckel UP;Stk;4010337214007
GIRA021104;Gira Steckdose mit Kinderschutz UP;Stk;4010337211044
GIRA029700;Gira USB-Steckdose A+C UP Reinweiß;Stk;4010337297001
