Artikelnummer;Bezeichnung;Einheit;EAN
GIRA028603;GIRA Wippschalter System 55, reinweiß glänzend;Stk;4010337028603
HAGMCN116;Hager LS-Automat MCN116, B16, 1-polig;Stk;3250612531161
HAGCDA240D;Hager FI/LS CDA240D, 40A 2-polig 30mA;Stk;3250612345678
NYMJ3X15;Leitung NYM-J 3x1,5 mm²;m;4001884112233
NYMJ5X25;Leitung NYM-J 5x2,5 mm²;m;4001884445566
JUNGLS990;JUNG Schuko-Steckdose LS990, reinweiß;Stk;4011377012345
OBOWDK60060;OBO Brüstungskanal WDK 60x60, lichtgrau;m;4012345600600
BUSCH2300;Busch-Jaeger Steckdose 2300 EUC, alpinweiß;Stk;4011395230011
SIEM5SL61;Siemens LS-Schalter 5SL6116, B16;Stk;4001869998877
KNIPEX0306;Knipex Kombizange 200mm;Stk;4003773010203
